location,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
academic,3745,1555,501,1445,1260,1667,1100,683,1483,890,1002,997,972,733,1994,729,1200,1761,1785,959,473,1207,609,402,833
administration,216,99,41,69,75,50,138,45,65,30,33,49,103,13,416,41,44,149,142,291,61,94,126,124,56
animal drug store,138,60,51,61,60,41,38,27,78,48,34,35,61,32,72,36,46,88,45,62,16,65,32,22,34
animal hospital,77,30,24,47,30,32,26,16,42,24,25,25,40,26,50,31,35,66,46,30,29,37,10,17,32
bar,453,217,190,293,280,96,128,121,63,72,152,91,129,83,151,63,62,245,75,375,130,217,323,312,122
cigarette,1687,791,570,998,880,566,914,709,532,398,1026,674,588,616,829,661,931,1178,669,936,644,854,693,996,712
clinic,2261,617,443,777,555,518,544,342,694,257,587,567,661,390,985,421,438,1005,566,692,300,608,419,503,464
culture,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
drug store,1156,491,373,510,597,427,319,161,414,284,576,351,470,376,533,319,464,772,299,476,118,347,366,374,419
electronic,17,0,0,4,0,1,7,41,0,0,1,0,5,1,13,0,0,2,0,1,0,0,0,0,0
entertainment,1104,533,269,609,546,842,410,287,333,191,406,260,281,245,582,270,298,593,321,488,308,310,318,291,359
finance,9,0,0,3,0,0,0,4,0,0,3,0,2,0,5,0,0,1,0,1,0,0,0,0,0
food,14191,4764,3070,5468,4338,5680,4238,2849,3968,2543,4604,2866,6689,4618,7375,3182,4338,6539,3253,6147,4366,4717,5678,5152,3368
game,599,20,12,57,23,22,179,157,10,7,4,11,117,13,221,31,6,68,31,290,112,4,29,202,14
hospital,60,19,15,33,14,12,18,14,20,11,28,12,11,7,21,9,7,31,16,23,3,22,5,7,10
hotel,301,101,165,176,166,109,148,95,39,35,197,50,609,151,96,94,111,151,28,277,328,104,511,584,110
karaoke,266,254,333,329,301,327,314,200,288,247,199,198,212,133,309,178,170,502,242,342,82,211,102,78,365
laundry,321,193,166,231,247,195,182,133,164,136,161,166,178,120,208,152,194,290,173,180,105,199,84,95,179
lifestyle,7741,2981,1533,3010,2664,3353,2376,1789,2275,1590,2294,1629,2685,1714,3842,1885,2440,3295,2230,3044,1675,2387,1418,2447,2232
lodging,199,96,125,108,108,109,116,79,33,26,153,33,160,92,102,81,120,95,19,217,121,79,250,347,103
manufacturing,14,1,0,10,0,3,4,39,0,0,8,0,2,0,7,0,0,4,2,0,0,0,1,1,0
mart,44,37,24,42,27,26,27,14,50,30,26,24,29,17,45,21,30,64,35,33,10,26,11,16,27
media,8,0,0,1,0,0,1,5,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
museum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
optical store,175,96,50,94,73,81,79,41,93,55,78,78,103,74,99,55,92,132,93,96,50,71,59,184,67
organization,18,0,0,2,0,1,1,10,0,0,2,0,7,0,12,0,0,2,0,0,0,0,0,0,0
pet store,261,136,67,176,112,113,65,62,102,81,91,58,99,78,143,100,95,226,71,75,75,126,27,32,109
printing,4864,634,414,1044,921,772,994,1127,508,401,712,854,4549,1055,3568,1191,718,1497,720,2317,1216,777,2815,4937,309
real estate,2353,755,192,714,600,847,482,383,383,258,554,392,623,354,1156,414,485,881,426,667,477,472,372,385,350
restuarant,3845,1231,4479,7518,1235,5551,5359,3839,4818,3086,5317,1044,10032,5145,2223,4497,5138,2401,4332,8407,5727,4806,8820,8555,4594
retail,11584,4279,2631,4692,4084,6435,3861,3871,3404,2828,6222,2533,3364,3175,7145,2938,4384,5549,3313,6311,4987,3717,7308,10937,3451
salon,2581,1431,1082,1750,1379,1161,1151,712,1275,890,1008,1007,1613,885,1371,800,1149,1990,1300,1165,637,1423,496,659,1163
sauna,94,27,29,42,32,26,34,19,28,22,30,32,31,27,54,22,27,49,33,42,34,29,30,44,25
school,124,96,62,194,95,81,90,54,165,77,81,83,74,68,81,73,113,145,114,86,51,116,61,325,82
sport,1400,556,207,658,395,557,432,302,408,346,283,259,396,206,733,273,343,721,424,666,172,481,202,438,311
technology,14,0,1,0,0,1,1,8,0,0,0,0,3,0,13,0,0,0,0,2,0,0,0,0,0
theater,132,45,26,36,14,51,50,19,34,11,24,111,61,32,46,27,19,52,23,47,47,226,200,331,23
trading,4,0,0,36,0,4,3,18,0,0,13,0,5,1,2,0,0,10,4,0,0,0,0,0,0
trasportation,2,0,0,4,0,0,1,1,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0
university,1,0,1,4,1,4,3,0,7,1,6,4,2,9,3,3,7,1,0,1,2,1,8,6,2
utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
